Марков Виталий Иосипович,1964-12-05,Зимина Ольга Ждановна,1975-07-14,1995-04-07,1
Мамонтов Еремей Трифонович,1973-11-03,Пестова Ия Кузьминична,1974-04-12,1999-04-24,9
Михеев Борислав Демьянович,1961-02-11,Стрелкова Агата Филипповна,1978-03-23,2003-02-11,8
Самсонов Пров Викторович,1978-10-26,Ковалева Маргарита Константиновна,1962-10-01,2006-08-17,9
Зыков Филипп Ермилович,1971-05-24,Красильникова Акулина Юрьевна,1981-04-18,2011-03-19,6
Никонов Юлиан Георгиевич,1990-08-06,Хохлова Вероника Натановна,1977-12-28,2017-03-10,5
Сазонов Исай Ааронович,1997-04-28,Некрасова Татьяна Рудольфовна,1973-05-03,2017-08-21,4
Доронин Олимпий Александрович,1975-09-10,Сидорова Ангелина Геннадиевна,1999-12-12,2018-08-27,5
Щербаков Нестор Иосипович,1997-12-22,Артемьева Алина Геннадьевна,1978-10-08,2020-02-26,10
Дьячков Сильвестр Фомич,1980-05-23,Никифорова Пелагея Федоровна,1994-12-04,2020-06-03,10
