Осипов Венедикт Марсович,1960-07-23,Корнилова Агата Валериевна,1960-12-25,1979-10-17,3
Жданов Сергей Федотович,1962-04-19,Хохлова Татьяна Валериевна,1962-02-05,1980-11-26,10
Николаев Семен Ефстафьевич,1961-05-22,Мишина Нина Вячеславовна,1960-03-16,1981-04-22,4
Фролов Изот Вячеславович,1961-05-04,Сафонова Милица Владимировна,1962-04-27,1981-06-24,10
Корнилов Венедикт Даниилович,1962-09-13,Мишина Милица Захаровна,1960-09-06,1981-09-22,4
Баранов Мефодий Ильич,1961-10-05,Данилова Элеонора Эдуардовна,1962-06-08,1981-12-07,2
Данилов Олимпий Теймуразович,1961-04-10,Третьякова Раиса Олеговна,1963-01-03,1982-03-23,10
Тарасов Самуил Ермилович,1964-02-01,Меркушева Майя Тарасовна,1964-09-05,1982-04-14,3
Киселев Павел Тарасович,1964-01-14,Белозерова Майя Тарасовна,1964-12-01,1982-09-19,2
Прохоров Андроник Виленович,1965-04-18,Казакова Маргарита Дмитриевна,1964-08-06,1983-05-23,10
Колобов Карп Зиновьевич,1960-05-19,Борисова Ангелина Леоновна,1961-04-19,1983-09-13,5
Кудряшов Софон Викентьевич,1963-10-01,Трофимова Зоя Максимовна,1965-06-12,1983-12-05,10
Белов Мирон Харитонович,1960-06-08,Логинова Марина Афанасьевна,1963-06-20,1984-01-22,1
Аксенов Дорофей Филимонович,1961-05-12,Белозерова Милица Егоровна,1961-06-01,1984-04-15,5
Белов Клавдий Германович,1965-07-02,Комарова Полина Борисовна,1960-09-01,1984-04-18,3
Кулаков Аким Венедиктович,1963-09-06,Гуляева Варвара Архиповна,1960-09-14,1984-05-06,7
Николаев Митофан Гордеевич,1963-08-08,Беспалова Нинель Болеславовна,1963-06-25,1984-08-05,7
Сысоев Эммануил Августович,1964-12-21,Капустина Вероника Ефимовна,1962-06-10,1984-08-18,5
Котов Милен Глебович,1960-08-07,Фролова Феврония Болеславовна,1964-02-26,1984-08-20,9
Носков Нестор Жанович,1961-07-14,Сысоева Акулина Львовна,1963-01-22,1984-09-09,4
Савельев Эрнст Герасимович,1966-12-19,Пономарева Эмилия Андреевна,1964-12-15,1985-01-09,10
Кулаков Платон Ааронович,1965-10-19,Дроздова Майя Геннадьевна,1966-10-27,1985-01-19,4
Кошелев Прохор Марсович,1966-02-16,Филиппова Глафира Захаровна,1961-08-19,1985-04-27,8
Егоров Любосмысл Фомич,1964-01-15,Воробьева Октябрина Эльдаровна,1966-09-06,1985-04-28,2
Журавлев Андрей Тарасович,1966-07-04,Бобылева Антонина Вадимовна,1966-07-03,1985-05-09,4
Мясников Валентин Августович,1964-11-14,Кудряшова Нонна Артемовна,1967-10-24,1985-05-23,9
Ефремов Никандр Гертрудович,1961-10-01,Чернова Анжелика Романовна,1964-04-17,1985-07-10,9
Исаев Филипп Елизарович,1964-06-08,Савина Наталья Вадимовна,1961-02-14,1985-09-17,8
Белоусов Ярослав Димитриевич,1960-06-11,Королева Агафья Альбертовна,1966-04-04,1986-01-15,10
Казаков Еремей Ефимович,1964-01-27,Щербакова Мария Борисовна,1961-04-03,1986-02-05,3
Кузнецов Аверкий Гордеевич,1966-04-19,Давыдова Ульяна Юльевна,1966-09-25,1986-02-10,5
Селиверстов Ананий Егорович,1965-10-02,Нестерова Эмилия Тимофеевна,1967-12-20,1986-03-23,10
Петров Аполлинарий Юльевич,1967-11-01,Лихачева Агафья Ильинична,1961-08-09,1986-04-20,6
Потапов Аверкий Андреевич,1966-05-19,Комиссарова Галина Валериевна,1967-05-04,1986-05-12,2
Егоров Нифонт Федосеевич,1962-03-16,Соловьева Нинель Филипповна,1960-02-03,1986-06-13,1
Панов Федот Харлампович,1966-03-07,Волкова Октябрина Васильевна,1968-05-03,1986-06-26,10
